'g_a á
'n_uiridh anuraidh
'n_uraidh anuraidh
Eabhraig_Nuadh Nua-Eabhrac
a_bh'ann a bhí ann
a_nuas anuas
a_staigh istigh
a_stigh istigh
a_th' atá
a_th'ann atá ann
abradh_iad déarfaidís
abradh_iad ndéarfaidís
abradh_tu déarfá
abradh_tu ndéarfá
air_beulaibh ar bhéal
air_uairibh uaireanta
am_measg i measc
an_còmhnaidh i gcónaí
an_diugh inniu
an_seo anseo
an_uiridh anuraidh
an_uraidh anuraidh
ann_am i
ann_am in
ann_an i
ann_an in
anns_a' sa
anns_a' san
anns_an sa
anns_an san
bheireadh_iad thabharfaidís
bheireadh_iad thugaidís
bheireadh_iad tugaidís
bheireadh_tu thabharfá
bhitheadh_iad bheidís
bhitheadh_iad mbeidís
bhitheadh_tu bheifeá
bhitheadh_tu mbeifeá
chan_eil ní bhíonn
chan_eil níl
càit_a_bheil cá bhfuil
d'rinn_iad dhearnadar
d'rinn_iad ndearnadar
d'rinn_sinn dhearnamar
d'rinn_sinn ndearnamar
deach_iad dheachadar
deach_iad ndeachadar
deach_sinn dheachamar
deach_sinn ndeachamar
deachaidh_iad dheachadar
deachaidh_iad ndeachadar
deachaidh_sinn dheachamar
deachaidh_sinn ndeachamar
do_rinn dhearna
do_rinn ndearna
do_rinn_iad dhearnadar
do_rinn_iad ndearnadar
do_rinn_sinn dhearnamar
do_rinn_sinn ndearnamar
do_rinneadh dhearnadh
do_rinneadh ndearnadh
dè_'n cén
faca_iad bhfacadar
faca_sinn bhfacamar
faiceadh_iad bhfeicfidís
faiceadh_iad fheicfidís
faiceadh_tu bhfeicfeá
faiceadh_tu fheicfeá
faigh_sinn bhfaighimid
faigheadh_iad bhfaighidís
faigheadh_tu bhfaighfeá
fhaca_iad fhacadar
fhaca_sinn fhacamar
fhaiceadh_iad bhfeicfidís
fhaiceadh_iad fheicfidís
fhaiceadh_tu bhfeicfeá
fhaiceadh_tu fheicfeá
fhaigheadh_iad bhfaighidís
fhaigheadh_tu bhfaighfeá
mar_thà cheana
mu_thimcheall timpeall
na_h-Innseachan an India
ruigeadh_iad shroichfidís
ruigeadh_iad shroichidís
ruigeadh_iad sroichfidís
ruigeadh_iad sroichidís
ruigeadh_tu shroichfeá
ruigeadh_tu sroichfeá
ruigidh_sinn shroichfimid
ruigidh_sinn sroichfimid
ràinig_iad shroicheadar
ràinig_iad sroicheadar
ràinig_sinn shroicheamar
ràinig_sinn sroicheamar
sna_h-Innseachan san India
tabhaireadh_iad dtabharfaidís
tabhaireadh_iad thugaidís
tabhaireadh_iad tugaidís
tabhaireadh_tu dtabharfá
tagadh_iad clibeálaidís
tagadh_iad gclibeálaidís
tagadh_iad gclibeálfaidís
tagadh_tu gclibeálfá
tagaidh_sinn clibeálfaimid
tagaidh_sinn gclibeálfaimid
thabhaireadh_iad thabharfaidís
thabhaireadh_tu thabharfá
thag_iad chlibeáladar
thag_iad gclibeáladar
thag_sinn chlibeálamar
thag_sinn gclibeálamar
thagadh_iad chlibeálaidís
thagadh_iad chlibeálfaidís
thagadh_tu chlibeálfá
thagaidh_sinn chlibeálfaimid
theirigeadh_iad téidís
thugadh_iad thabharfaidís
thugadh_iad thugaidís
thugadh_iad tugaidís
thugadh_tu thabharfá
tigeadh_iad tagaidís
tugadh_iad dtabharfaidís
tugadh_tu dtabharfá
