#7000And1 #7000And1
#Adaptxt #Adaptxt
#BBC #BBC
#BBCALBA #BBCALBA
#BBCAlba #BBCAlba
#BBCRNG #BBCRNG
#BBCRadionanGaidheal #BBCRadionanGaidheal
#BBCRnG #BBCRnG
#Blas13 #Blas13
#Blas2013 #Blas2013
#Buille #Buille
#Celtic #Celtic
#Christmas #Christmas
#Cymraeg #Cymraeg
#Edinburgh #Edinburgh
#FF #FF
#Firefox #Firefox
#Folk #Folk
#Frysk #Frysk
#Fuaim #Fuaim
#Gaeilge #Gaeilge
#Gaelg #Gaelg
#Gaelic #Gaelic
#Glasgow #Glasgow
#Gàidhlig #Gàidhlig
#Hebrides #Hebrides
#Irish #Irish
#Islay #Islay
#Kernewek #Kernewek
#LibreOffice #LibreOffice
#Mòd #Mòd
#OiPolloi #OiPolloi
#PDConf #PDConf
#RNG #RNG
#Rapal #Rapal
#RunKeeper #RunKeeper
#SMO #SMO
#SP #SP
#SP4 #SP4
#Scotland #Scotland
#Skye #Skye
#SongForToday #SongForToday
#Theatre #Theatre
#Uibhist #Uibhist
#abairthusa #abairthusa
#aland #aland
#anam #anam
#anla #anla
#bbc #bbc
#bbcalba #bbcalba
#blackpool #blackpool
#books #books
#ceol #ceol
#craic #craic
#cymraeg #cymraeg
#cymru #cymru
#dubhisgorm #dubhisgorm
#ff #ff
#ga #ga
#gaeilge #gaeilge
#gael #gael
#gaelg #gaelg
#gaelic #gaelic
#gaidhl #gaidhl
#glasgow #glasgow
#gàidhlig #gàidhlig
#holyrood #holyrood
#imld14 #imld14
#indyref #indyref
#islandfootie #islandfootie
#learngaelic #learngaelic
#pdconf #pdconf
#rnag #rnag
#rng #rng
#runrig #runrig
#scotland #scotland
#sp11 #sp11
#sp4 #sp4
#starlink #starlink
#ulpangaelic #ulpangaelic
#vorarlberg #vorarlberg
#Ìle #Ìle
#Ùlpan #Ùlpan
' '
'EUR 'EUR
'Ic 'Ic
'IcAda 'IcAda
'IcAdaidh 'IcAdaidh
'IcAilein 'IcAilein
'IcAilpein 'IcAilpein
'IcAlasdair 'IcAlasdair
'IcAlastair 'IcAlastair
'IcAmbrois 'IcAmbrois
'IcAmhlaidh 'IcAmhlaidh
'IcAmhlaigh 'IcAmhlaigh
'IcAmhsalain 'IcAmhsalain
'IcAmoinn 'IcAmoinn
'IcAnndra 'IcAnndra
'IcAnndrais 'IcAnndrais
'IcAoidh 'IcAoidh
'IcAonghais 'IcAonghais
'IcArailt 'IcArailt
'IcArtain 'IcArtain
'IcArtaine 'IcArtaine
'IcArtair 'IcArtair
'IcAsgaill 'IcAsgaill
'IcBhaoille 'IcBhaoille
'IcBhatair 'IcBhatair
'IcBheatha 'IcBheatha
'IcBheathain 'IcBheathain
'IcBhiadhtaich 'IcBhiadhtaich
'IcBhig 'IcBhig
'IcBhiocair 'IcBhiocair
'IcBhiorna 'IcBhiorna
'IcBhlosgaidh 'IcBhlosgaidh
'IcBhradain 'IcBhradain
'IcBhranain 'IcBhranain
'IcBhreabadair 'IcBhreabadair
'IcBhreatnaigh 'IcBhreatnaigh
'IcBhroin 'IcBhroin
'IcBhràthair 'IcBhràthair
'IcBhrìdein 'IcBhrìdein
'IcBhàin 'IcBhàin
'IcCafraidh 'IcCafraidh
'IcCaibe 'IcCaibe
'IcCailein 'IcCailein
'IcCairbre 'IcCairbre
'IcCalmain 'IcCalmain
'IcCaluim 'IcCaluim
'IcCaoig 'IcCaoig
'IcCarmaig 'IcCarmaig
'IcCasain 'IcCasain
'IcCathachaidh 'IcCathachaidh
'IcCathail 'IcCathail
'IcCathain 'IcCathain
'IcCathbharra 'IcCathbharra
'IcCathmhaoil 'IcCathmhaoil
'IcCeallaich 'IcCeallaich
'IcCeàrnachain 'IcCeàrnachain
'IcCeàrnaich 'IcCeàrnaich
'IcCiarain 'IcCiarain
'IcCionaoidh 'IcCionaoidh
'IcCnaimhin 'IcCnaimhin
'IcCobhthaich 'IcCobhthaich
'IcCodruim 'IcCodruim
'IcCoineagain 'IcCoineagain
'IcCoinnich 'IcCoinnich
'IcCoirc 'IcCoirc
'IcCoise 'IcCoise
'IcColla 'IcColla
'IcComhain 'IcComhain
'IcConcharraige 'IcConcharraige
'IcConmhaoil 'IcConmhaoil
'IcCorcadail 'IcCorcadail
'IcCormaig 'IcCormaig
'IcCorrain 'IcCorrain
'IcCreamhain 'IcCreamhain
'IcCriomain 'IcCriomain
'IcCrosain 'IcCrosain
'IcCruim 'IcCruim
'IcCruimein 'IcCruimein
'IcCruiteir 'IcCruiteir
'IcCràbhagain 'IcCràbhagain
'IcCràine 'IcCràine
