a as
ag chuig
an fan
as ais
as os
atáid atáid
ba ó
ballach ball
bas bas
basa basa
bhas bhas
bhasa bhasa
bpunta bpunta
conn ceann
Damascus An Damaisc
daoiní daoiní
dhaoiní dhaoiní
dhearn dhearn
dula dola
dul dol
eile uile
fá ba
faoi faí
fhéin fhéin
fuaras bhfuair
fuaras fuair
gaoith gaoith
ghaoith ghaoith
gheobhair gheobhaidh
go a
go ó tharla go
goire goire
í uí
le leith
leobhtha leofa
mbas mbas
mbasa mbasa
mór mothar
nach ach
ndaoiní ndaoiní
ndearn ndearn
ngaoith ngaoith
ní déanann
nó óir
punta punta
phunta phunta
rabh rabh
raibh rú
raibh ruibh
sí sitheadh
táid táid
thoisigh thoisigh
uilig uile go léir
